study,station.x,operatn,year,X,Y,Tax_Div,Tax_Even,Tax_Rich,logab,logabI,Strahler,Catchment6_size,Ships,Ports,Locks,Channelization,Rip_Deg,Urban_new,Agriculture_new,fric_new,feve_new,fdiv_new,ports_5k,locks_5k
BelgianH,BelgianH_122050,BelgianH_122050_2010_21498418,2010,5.821,51.129,6.280984031,0.299094478,21,6.126869184,4.290459441,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.13288002,0.659849,0.653134336,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_2013_21631860,2013,5.821,51.129,12.10270021,0.448248156,27,5.438079309,4.418840608,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.316517485,0.591119,0.774006398,1.207217158,0.169240002
BelgianH,BelgianH_122100,BelgianH_122100_1995_250936,1995,5.8,51.094,2.637454982,0.188389642,14,5.135798437,1.098612289,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.138026349,0.477143,0.651307129,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_1996_324849,1996,5.8,51.094,6.428491931,0.401780746,16,5.030437921,1.098612289,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.144775896,0.603624,0.649234299,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_1997_982113,1997,5.8,51.094,10.02827601,0.477536953,21,6.079933195,1.386294361,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.218512944,0.359122,0.829715557,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_1998_996011,1998,5.8,51.094,5.574398574,0.327905798,17,4.927253685,2.63905733,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.131337575,0.531807,0.566349253,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_1999_11023369,1999,5.8,51.094,7.871324218,0.43729579,18,5.327876169,2.944438979,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.21420338,0.563151,0.604401197,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_2000_21033383,2000,5.8,51.094,7.956966111,0.41878769,19,5.153291594,2.772588722,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.230396583,0.511266,0.584184455,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_2003_21122347,2003,5.8,51.094,4.803921569,0.533769063,9,3.583518938,0.693147181,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.03612033,0.664534,0.489117313,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_2003_21129873,2003,5.8,51.094,9.949197861,0.552733214,18,4.812184355,2.944438979,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.149803291,0.644239,0.637258625,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_2003_21140302,2003,5.8,51.094,11.57985914,0.350904822,33,6.380122537,3.761200116,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.323275872,0.372093,0.655318393,1.207217158,-0.599130499
