"","Feeding","Habitat","Migration","Reproduction","Rheophily","Sensitivity","FRI","S2FRI"
"Rhodeus.amarus","omnivorous","benthic","non migratory","ostracophil","limnophil",2.21,6.5,0.27
"Rutilus.pigus","omnivorous","benthic","non migratory","phytophil","rheophil",3.14,6.25,0.39
"Rutilus.rutilus","omnivorous","benthic","potamodromous","phytolithophil","eurytop",2.57,6.83,0.88
"Sabanejewia.aurata","invertivorous","demersal","non migratory","phytophil","rheophil",1.79,6,0.55
"Sabanejewia.balcanica","invertivorous","demersal","non migratory","phytophil","rheophil",1.79,6.42,0.81
"Salmo.salar","piscivorous","benthic","diadromous","lithophil","rheophil",4.71,5,0.55
"Salmo.trutta.fario","omnivorous","demersal","non migratory","lithophil","rheophil",4.79,4.33,0.24
"Salmo.trutta.lacustris","omnivorous","demersal","potamodromous","lithophil","rheophil",4.79,4.33,0.24
"Salmo.trutta.trutta","piscivorous","pelagic","diadromous","lithophil","rheophil",4.79,4.33,0.24
"Salvelinus.alpinus","planktivorous","benthic","diadromous","lithophil","rheophil",4.79,4.33,0.24
"Salvelinus.fontinalis","omnivorous","demersal","diadromous","lithophil","rheophil",3.79,3.5,0.27
"Sander.lucioperca","piscivorous","pelagic","potamodromous","phytolithophil","eurytop",3.43,7.25,0.57
"Sander.volgensis","piscivorous","demersal","non migratory","phytolithophil","eurytop",2.43,7.25,0.57
"Scardinius.erythrophthalmus","omnivorous","benthic","potamodromous","phytophil","limnophil",2.86,6.92,0.45
"Silurus.glanis","piscivorous","demersal","non migratory","phytophil","eurytop",3,7,0.36
"Squalius.cephalus","omnivorous","benthic","potamodromous","lithophil","rheophil",3,5.83,1.24
"Syngnathus.abaster","invertivorous","demersal","diadromous","polyphil","limnophil",2.29,7.5,0.27
"Thymallus.thymallus","invertivorous","benthic","non migratory","lithophil","rheophil",3.14,4.92,0.45
"Tinca.tinca","omnivorous","demersal","potamodromous","phytophil","limnophil",3.5,6.92,0.45
"Umbra.pygmaea","invertivorous","demersal","non migratory","phytophil","limnophil",1.79,7,0.18
"Vimba.vimba","omnivorous","benthic","diadromous","lithophil","rheophil",2.5,6.67,0.79
"Zingel.asper","invertivorous","demersal","potamodromous","lithophil","rheophil",1.93,6.08,0.45
"Zingel.streber","omnivorous","demersal","potamodromous","lithophil","rheophil",1.93,6.08,0.45
"Zingel.zingel","omnivorous","demersal","non migratory","lithophil","rheophil",2.86,6.33,0.24
