"","ships","canals","ports","locks"
"GermanH_1_1993",0.36860852878859,0.599873391418812,2.955928569,-0.599130499
"GermanH_2_1993",0.542739344343326,0.833813984694345,1.207217158,-0.599130499
"GermanH_3_1993",0.542739344343326,0.833813984694345,1.207217158,-0.599130499
"GermanH_4_1993",1.29542904050286,-0.29552577991892,1.207217158,-0.599130499
"GermanH_5_1993",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_6_1993",2.44757540905044,-0.770595382302904,1.207217158,1.705981004
"GermanH_7_1993",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_8_1993",3.51071347739616,-0.574355629572732,1.207217158,-0.599130499
"GermanH_9_1993",2.44757540905044,-0.770595382302904,2.955928569,-0.599130499
"GermanH_10_1993",1.90512718724404,-0.514935554282708,1.207217158,-0.599130499
"GermanH_11_1993",2.37729049823537,-0.223825486168737,-0.541494254,-0.599130499
"GermanH_12_1993",-0.356733451888154,0.158602332598067,-0.541494254,0.169240002
"GermanH_13_1993",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_14_1993",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_15_1993",2.63653437163681,-0.154026977209732,2.955928569,2.474351505
"GermanH_16_1993",-0.548385719751861,-0.605865164006632,-0.541494254,-0.599130499
"GermanH_17_1993",-0.548437404864841,-0.714416072248321,-0.541494254,-0.599130499
"GermanH_18_1993",-0.548073517951706,-0.688876346245925,-0.541494254,-0.599130499
"GermanH_19_1993",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_20_1993",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_21_1994",-0.546141352606866,-0.443238204198969,-0.541494254,-0.599130499
"GermanH_12_1994",-0.356733451888154,0.158602332598067,-0.541494254,0.169240002
"GermanH_8_1994",3.51071347739616,-0.574355629572732,1.207217158,-0.599130499
"GermanH_22_1994",3.40094952924675,3.33745270899691,1.207217158,-0.599130499
"GermanH_23_1994",1.90512718724404,-0.514935554282708,1.207217158,-0.599130499
"GermanH_24_1994",1.90512718724404,-0.514935554282708,-0.541494254,-0.599130499
"GermanH_15_1994",2.63653437163681,-0.154026977209732,2.955928569,2.474351505
"GermanH_25_1994",2.89685014472319,-0.0860033404765967,-0.541494254,-0.599130499
"GermanH_13_1994",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_14_1994",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_17_1994",-0.548437404864841,-0.714416072248321,-0.541494254,-0.599130499
"GermanH_18_1994",-0.548073517951706,-0.688876346245925,-0.541494254,-0.599130499
"GermanH_19_1994",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_26_1994",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_20_1994",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_27_1994",-0.320766668221512,-0.839717464915548,-0.541494254,-0.599130499
"GermanH_28_1994",-0.542522353729628,-0.452166855703473,-0.541494254,0.169240002
"GermanH_29_1994",-0.542522353729628,-0.452166855703473,-0.541494254,0.169240002
"GermanH_30_1994",-0.366273233351408,-0.839717464915548,-0.541494254,-0.599130499
"GermanH_10_1994",1.90512718724404,-0.514935554282708,1.207217158,-0.599130499
"GermanH_11_1994",2.37729049823537,-0.223825486168737,-0.541494254,-0.599130499
"GermanH_31_1994",-0.319336925364831,-0.776716287194108,-0.541494254,0.937610503
"GermanH_8_1995",3.51071347739616,-0.574355629572732,1.207217158,-0.599130499
"GermanH_32_1995",2.30283363213076,-0.499472139536871,2.955928569,0.169240002
"GermanH_33_1995",3.42884981026832,3.55264688860971,1.207217158,-0.599130499
"GermanH_22_1995",3.40094952924675,3.33745270899691,1.207217158,-0.599130499
"GermanH_15_1995",2.63653437163681,-0.154026977209732,2.955928569,2.474351505
"GermanH_17_1995",-0.548437404864841,-0.714416072248321,-0.541494254,-0.599130499
"GermanH_7_1995",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_19_1995",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_26_1995",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_20_1995",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_13_1995",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_14_1995",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_1_1995",0.36860852878859,0.599873391418812,2.955928569,-0.599130499
"GermanH_2_1995",0.542739344343326,0.833813984694345,1.207217158,-0.599130499
"GermanH_31_1995",-0.319336925364831,-0.776716287194108,-0.541494254,0.937610503
"GermanH_11_1995",2.37729049823537,-0.223825486168737,-0.541494254,-0.599130499
"GermanH_28_1995",-0.542522353729628,-0.452166855703473,-0.541494254,0.169240002
"GermanH_3_1995",0.542739344343326,0.833813984694345,1.207217158,-0.599130499
"GermanH_11_1996",2.37729049823537,-0.223825486168737,-0.541494254,-0.599130499
"GermanH_34_1996",-0.356095702457686,-0.839717464915548,-0.541494254,0.937610503
"GermanH_35_1996",-0.390219098054053,-0.480778676616664,-0.541494254,0.169240002
"GermanH_36_1996",-0.390219098054053,-0.480778676616664,-0.541494254,0.169240002
"GermanH_37_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_38_1996",-0.526928718170078,0.169085081345034,2.955928569,-0.599130499
"GermanH_39_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_40_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_41_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_42_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_43_1996",-0.237005236700352,0.466030888866654,2.955928569,-0.599130499
"GermanH_44_1996",-0.237005236700352,0.466030888866654,-0.541494254,0.169240002
"GermanH_45_1996",-0.237005236700352,0.466030888866654,-0.541494254,0.169240002
"GermanH_46_1996",-0.356733451888154,0.158602332598067,-0.541494254,-0.599130499
"GermanH_47_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_48_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_49_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_50_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_51_1996",-0.168352091156655,0.298709345134427,-0.541494254,-0.599130499
"GermanH_52_1996",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_53_1996",-0.54847047092717,-0.839717464915548,-0.541494254,-0.599130499
"GermanH_16_1996",-0.548385719751861,-0.605865164006632,-0.541494254,-0.599130499
"GermanH_54_1996",-0.390219098054053,-0.480778676616664,-0.541494254,0.169240002
"GermanH_17_1996",-0.548437404864841,-0.714416072248321,-0.541494254,-0.599130499
"GermanH_20_1996",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_8_1996",3.51071347739616,-0.574355629572732,1.207217158,-0.599130499
"GermanH_22_1996",3.40094952924675,3.33745270899691,1.207217158,-0.599130499
"GermanH_55_1996",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_56_1996",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_57_1996",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_58_1996",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_59_1996",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_60_1996",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_61_1996",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_62_1996",-0.408635691533666,-0.350509326833845,-0.541494254,-0.599130499
"GermanH_13_1996",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_14_1996",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_31_1996",-0.319336925364831,-0.776716287194108,-0.541494254,0.937610503
"GermanH_28_1996",-0.542522353729628,-0.452166855703473,-0.541494254,0.169240002
"GermanH_63_1997",-0.548437404864841,-0.714416072248321,-0.541494254,-0.599130499
"GermanH_8_1997",3.51071347739616,-0.574355629572732,1.207217158,-0.599130499
"GermanH_33_1997",3.42884981026832,3.55264688860971,1.207217158,-0.599130499
"GermanH_5_1997",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_17_1997",-0.548437404864841,-0.714416072248321,-0.541494254,-0.599130499
"GermanH_18_1997",-0.548073517951706,-0.688876346245925,-0.541494254,-0.599130499
"GermanH_7_1997",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_28_1997",-0.542522353729628,-0.452166855703473,-0.541494254,0.169240002
"GermanH_13_1997",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_38_1997",-0.526928718170078,0.169085081345034,2.955928569,-0.599130499
"GermanH_43_1997",-0.237005236700352,0.466030888866654,2.955928569,-0.599130499
"GermanH_53_1997",-0.54847047092717,-0.839717464915548,-0.541494254,-0.599130499
"GermanH_51_1997",-0.168352091156655,0.298709345134427,-0.541494254,-0.599130499
"GermanH_52_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_50_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_48_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_40_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_47_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_49_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_37_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
