station.x,SUB_AREA,UP_AREA,layer
Seine_3149081,3366.6,5572.6,hybas_eu_lev07_v1c
Seine_3149630,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3149630,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3149630,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3149630,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3149630,3366.6,5572.6,hybas_eu_lev07_v1c
Seine_3133000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3133000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3133000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3133000,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3133000,4621.3,4621.5,hybas_eu_lev07_v1c
Seine_3131000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3131000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3131000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3131000,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3131000,4621.3,4621.5,hybas_eu_lev07_v1c
Seine_3088800,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3088800,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3088800,3444.4,3444.5,hybas_eu_lev06_v1c
Seine_3088800,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3088800,3444.4,3444.5,hybas_eu_lev07_v1c
Seine_3091000,3444.4,3444.5,hybas_eu_lev06_v1c
Seine_3091000,3444.4,3444.5,hybas_eu_lev07_v1c
Seine_3091000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3091000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3091000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3004349,4008.7,4008.7,hybas_eu_lev07_v1c
Seine_3004349,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3004349,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3004349,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3004349,30654.0,30654.8,hybas_eu_lev06_v1c
Seine_3006000,4008.7,4008.7,hybas_eu_lev07_v1c
Seine_3006000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3006000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3006000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3006000,30654.0,30654.8,hybas_eu_lev06_v1c
Seine_3104000,7203.8,12783.1,hybas_eu_lev07_v1c
Seine_3104000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3104000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3104000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3104000,7203.8,12783.1,hybas_eu_lev06_v1c
Seine_3011300,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3011300,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3011300,1671.8,10268.4,hybas_eu_lev07_v1c
Seine_3011300,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3011300,30654.0,30654.8,hybas_eu_lev06_v1c
Seine_3012100,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3012100,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3012100,1671.8,10268.4,hybas_eu_lev07_v1c
